Last Updated,PV1 Current (A),PV2 Current (A),PV1 Voltage (V),PV2 Voltage (V),Output Current (A),Network Voltage (V),Power Now (W),Exported Power (W),PV1 Input Power (W),PV2 Input Power (W),FAC1 (HZ),Exported energy (kWh),Grid Consumption (kWh),Today's Energy (kWh),Total Energy (kWh)
2018/7/1 3:55:25,0,0,0,78.6,0.4,245.3,0,0,5,0,50.01,0,0,0,1226
2018/7/1 4:05:25,0,0,0,93.4,0.4,244.9,0,0,5,0,50.02,0,0,0,1226
2018/7/1 4:10:25,0,0,0,118.1,0.4,245.3,0,0,5,0,49.99,0,0,0,1226
2018/7/1 4:15:25,0,0,0,85,0.4,245.2,0,0,5,0,0,0,0,1226,
2018/7/1 4:20:25,0,0,0,115.3,0.4,245.3,0,0,5,0,0,0,0,1226,
2018/7/1 4:25:25,0,0,0,153.9,0.4,246.5,0,0,5,0,0,0,0,1226,
2018/7/1 4:30:26,0,0,0,163.3,0,245.9,0,0,5,0,50.02,0,0,0,1226
2018/7/1 4:35:25,0,0.1,0,205.4,0.7,245.9,19,0,0,33,50.01,0,0,0,1226
2018/7/1 4:40:26,0,0.1,0,227.5,0.7,245.8,23,0,0,38,0,0,0,1226,
2018/7/1 4:45:26,0,0.1,0,224.4,0.7,246,26,0,0,41,50.01,0,0,0,1226
2018/7/1 4:50:26,0,0.2,0,232.3,0.7,245.8,31,0,0,48,49.99,0,0,0,1226
2018/7/1 4:55:26,0,0.2,0,230.7,0.8,245.1,40,0,0,56,0,0,0,1226,
2018/7/1 5:00:26,0,0.3,0,229,0.8,244.8,56,0,0,73,49.96,0,0,0,1226
2018/7/1 5:05:26,0,0.3,0,239,0.8,245.1,62,0,0,81,0,0,0,1226,
2018/7/1 5:10:26,0,0.3,0,238.8,0.8,245.2,68,0,0,86,49.94,0,0,0,1226
2018/7/1 5:15:26,0,0.3,0,237.3,0.8,245.2,73,0,0,91,49.96,0,0,0,1226
2018/7/1 5:20:26,0,0.3,0,239.4,0.8,245.3,75,0,0,91,49.95,0,0,0,1226
2018/7/1 5:25:26,0,0.4,0,236.8,0.8,245.3,77,0,0,101,49.94,0,0,0,1226
2018/7/1 5:30:26,0,0.4,0,239.8,0.9,245,89,0,0,108,0,0,0,1226,
2018/7/1 5:35:26,0,0.5,0,240.6,0.9,245.2,114,0,0,132,49.95,0,0,0,1226
2018/7/1 5:40:26,0,0.5,0,240.1,0.9,245.1,124,0,0,143,0,0,0,1226,
2018/7/1 5:45:26,0,0.5,0,239.7,0.9,244.7,122,0,0,140,49.94,0,0,0,1226
2018/7/1 5:50:26,0,0.5,0,242.3,0.9,244.6,120,0,0,139,49.96,0,0,0,1226
2018/7/1 5:55:26,0,0.5,0,245.7,0.9,244,125,0,0,144,49.97,0,0,0,1226
2018/7/1 6:00:26,0,0.8,0,243.5,1.1,245.3,181,0,0,202,50.01,0,0,0.1,1226.1
2018/7/1 6:05:26,0,0.9,0,248.2,1.2,245.3,219,0,0,243,50.01,0,0,0.1,1226.1
2018/7/1 6:10:26,0,0.9,0,242.1,1.2,244.3,203,0,0,224,0,0,0.1,1226.1,
2018/7/1 6:15:26,0,0.7,0,241.8,1,242,159,0,0,180,50.04,0,0,0.1,1226.1
2018/7/1 6:20:26,0,0.7,0,242.5,1.1,243.4,163,0,0,183,50.05,0,0,0.1,1226.1
2018/7/1 6:25:26,0,0.7,0,244.1,1,243.4,158,0,0,178,0,0,0.1,1226.1,
2018/7/1 6:30:26,0,0.7,0,244,1.1,243.4,171,0,0,192,50.06,0,0,0.1,1226.2
2018/7/1 6:35:26,0,0.9,0,245.1,1.2,242.6,212,0,0,236,50.05,0,0,0.2,1226.2
2018/7/1 6:40:26,0,0.9,0,244.6,1.2,243.1,212,0,0,236,50.05,0,0,0.2,1226.2
2018/7/1 6:45:26,0,1.1,0,247.2,1.3,242.3,250,0,0,274,49.95,0,0,0.2,1226.2
2018/7/1 6:50:26,0,0.9,0,248.6,1.2,241.3,222,0,0,245,49.95,0,0,0.2,1226.2
2018/7/1 6:55:26,0,0.9,0,247.2,1.2,240.5,204,0,0,228,49.93,0,0,0.2,1226.2
2018/7/1 7:00:26,0,1,0,248.9,1.3,242.1,241,0,0,264,49.91,0,0,0.3,1226.3
2018/7/1 7:05:26,0,1,0,247.3,1.3,240.8,248,0,0,271,49.92,0,0,0.3,1226.3
2018/7/1 7:10:26,0,1,0,249.8,1.3,244.4,230,0,0,253,0,0,0.3,1226.3,
